"gene_short_name" "term" "q_value" "estimate"
"1" "Rrs1" "genotypeWT" 6.193588e-66 0.2896024
"2" "3110035E14Rik" "genotypeWT" 9.986868e-117 -1.6189768
"3" "Snhg6" "genotypeWT" 0 0.81325
"4" "Prex2" "genotypeWT" 1.421464e-35 -1.6209544
"5" "Mcm3" "genotypeWT" 3.810177e-65 0.4286881
"6" "Myo1b" "genotypeWT" 1.653694e-45 0.615724
"7" "Hspd1" "genotypeWT" 3.62094e-166 0.2056182
"8" "Bzw1" "genotypeWT" 3.982174e-51 0.1516831
"9" "Rpe" "genotypeWT" 1.436005e-170 0.8204399
"10" "Acadl" "genotypeWT" 3.270931e-85 0.2744397
"11" "Rpl37a" "genotypeWT" 8.893866e-57 -0.0636747
"12" "Wdfy1" "genotypeWT" 0 1.830775
"13" "Ncl" "genotypeWT" 4.994856e-99 0.1971872
"14" "Ptma" "genotypeWT" 1.46792e-86 0.1824508
"15" "Hjurp" "genotypeWT" 1.36917e-91 0.5862683
"16" "Myeov2" "genotypeWT" 6.03146e-84 -0.1591218
"17" "Dbi" "genotypeWT" 8.304296e-54 -0.1105793
"18" "Mcm6" "genotypeWT" 1.1885104e-37 0.3243655
"19" "Tagln2" "genotypeWT" 4.974806e-64 0.3082975
"20" "Hnrnpu" "genotypeWT" 7.159256e-36 0.1377732
"21" "Set" "genotypeWT" 1.280187e-78 0.1597364
"22" "Rpl35" "genotypeWT" 1.580642e-90 -0.1348507
"23" "Hat1" "genotypeWT" 1.69058e-45 0.2697133
"24" "Ssrp1" "genotypeWT" 4.349241e-58 0.2121357
"25" "Trp53i11" "genotypeWT" 1.660095e-39 0.4912068
"26" "Usp50" "genotypeWT" 1.505968e-46 -0.3077253
"27" "Cst3" "genotypeWT" 1.1695476e-44 -0.237317
"28" "Dynlrb1" "genotypeWT" 8.939895e-51 -0.1145445
"29" "Scand1" "genotypeWT" 2.658045e-50 -0.1857495
"30" "Serinc3" "genotypeWT" 2.65138e-44 0.3879406
"31" "Atp5e" "genotypeWT" 3.230248e-120 -0.1803725
"32" "Rps21" "genotypeWT" 3.449204e-97 -0.1069023
"33" "Pcsk1n" "genotypeWT" 3.946349e-52 -0.3156209
"34" "Rpl39" "genotypeWT" 2.567996e-115 -0.0897841
"35" "Ndufa1" "genotypeWT" 7.749311e-38 -0.1510391
"36" "Gpm6b" "genotypeWT" 9.33825e-96 -0.155515
"37" "Tmsb4x" "genotypeWT" 1.2025734e-92 0.1594
"38" "Mid1" "genotypeWT" 8.293888e-68 0.6853559
"39" "Car2" "genotypeWT" 0 -0.7871336
"40" "Exosc9" "genotypeWT" 7.36171e-39 0.3052516
"41" "Ndufc1" "genotypeWT" 2.1434e-35 -0.1030944
"42" "Lhfp" "genotypeWT" 4.913172e-64 0.4336775
"43" "Exosc8" "genotypeWT" 1.532392e-49 0.2875315
"44" "Cct3" "genotypeWT" 2.894965e-42 0.1276653
"45" "Cks1b" "genotypeWT" 1.0658172e-37 0.2466852
"46" "Rps27" "genotypeWT" 4.85231e-65 -0.07761
"47" "Anp32e" "genotypeWT" 1.84975e-35 0.1499293
"48" "Gstm1" "genotypeWT" 1.833147e-40 -0.2543962
"49" "H2afz" "genotypeWT" 1.824692e-43 0.1759168
"50" "Car8" "genotypeWT" 5.366304e-76 0.5509635
"51" "Chmp5" "genotypeWT" 3.53297e-41 -0.180335
"52" "Vcp" "genotypeWT" 1.461564e-266 0.3236047
"53" "Hint2" "genotypeWT" 7.281252e-36 -0.2309655
"54" "Anp32b" "genotypeWT" 2.276337e-86 0.2271209
"55" "Alad" "genotypeWT" 1.0576928e-35 -0.2921949
